"Encoding1"	"Encoding2"	"Adjusted_RV"
"ASDC"	"DAC"	0.842871307257064
"ASDC"	"DCC"	0.77900164390111
"ASDC"	"DACC"	0.807936061741675
"ASDC"	"TAC"	0.859997058498126
"ASDC"	"TCC"	0.897166315162283
"ASDC"	"TACC"	0.891849676267101
"ASDC"	"Moran"	0.440032809263767
"ASDC"	"Geary"	0.439982961990895
"ASDC"	"NMBroto"	0.832308068754698
"ASDC"	"DPCP"	0.99747271090218
"ASDC"	"TPCP"	0.988494236987028
"ASDC"	"MMI"	0.834972463586052
"ASDC"	"PseDNC"	0.999908760382468
"ASDC"	"PseKNC"	0.998216811698728
"ASDC"	"PCPseDNC"	0.999908760382468
"ASDC"	"PCPseTNC"	0.991694069581506
"ASDC"	"SCPseDNC"	0.999906794602329
"ASDC"	"SCPseTNC"	0.998457241676229
"ASDC"	"Mismatch"	0.0631236326412654
"ASDC"	"Kmer-1"	0.989380364570233
"ASDC"	"Kmer-2"	1
"ASDC"	"Kmer-3"	0.998512327863034
"ASDC"	"Kmer-4"	0.991697485116286
"ASDC"	"Kmer-5"	0.979957955909131
"ASDC"	"Kmer-6"	0.966018639233479
"ASDC"	"Kmer-7"	0.94212184842789
"ASDC"	"RCKmer-1"	0.988410734354615
"ASDC"	"RCKmer-2"	0.996402334401389
"ASDC"	"RCKmer-3"	0.997605596075538
"ASDC"	"RCKmer-4"	0.994270737832674
"ASDC"	"RCKmer-5"	0.979488205495062
"ASDC"	"RCKmer-6"	0.970685104808709
"ASDC"	"RCKmer-7"	0.943618816249787
"Z_curve_9bit"	"Z_curve_12bit"	0.96091585792895
"Z_curve_9bit"	"Z_curve_36bit"	0.96785400954859
"Z_curve_9bit"	"Z_curve_48bit"	0.955122785890874
"Z_curve_9bit"	"Z_curve_144bit"	0.96121108412917
"Z_curve_9bit"	"PseEIIP"	0.979547391796511
"Z_curve_9bit"	"DAC"	0.769311827792555
"Z_curve_9bit"	"DCC"	0.708169160786462
"Z_curve_9bit"	"DACC"	0.735542190166026
"Z_curve_9bit"	"TAC"	0.89401679998214
"Z_curve_9bit"	"TCC"	0.902754208681464
"Z_curve_9bit"	"TACC"	0.916691333996118
"Z_curve_9bit"	"Moran"	0.350493803056355
"Z_curve_9bit"	"Geary"	0.350439816015991
"Z_curve_9bit"	"NMBroto"	0.756462866361278
"Z_curve_9bit"	"DPCP"	0.975523483695224
"Z_curve_9bit"	"TPCP"	0.986891991554387
"Z_curve_9bit"	"MMI"	0.757518597486041
"Z_curve_9bit"	"PseDNC"	0.982173426587747
"Z_curve_9bit"	"PseKNC"	0.97368773766206
"Z_curve_9bit"	"PCPseDNC"	0.982173426587747
"Z_curve_9bit"	"PCPseTNC"	0.960309158067711
"Z_curve_9bit"	"SCPseDNC"	0.980874854662844
"Z_curve_9bit"	"SCPseTNC"	0.974122718246384
"Z_curve_9bit"	"Mismatch"	0.064393836534774
"Z_curve_9bit"	"Kmer-1"	0.992766106556935
"Z_curve_9bit"	"Kmer-2"	0.982225224153756
"Z_curve_9bit"	"Kmer-3"	0.974048503208406
"Z_curve_9bit"	"Kmer-4"	0.95790706625788
"Z_curve_9bit"	"Kmer-5"	0.937632148389388
"Z_curve_9bit"	"Kmer-6"	0.917082594451078
"Z_curve_9bit"	"Kmer-7"	0.885206941769438
"Z_curve_9bit"	"RCKmer-1"	0.991557016512333
"Z_curve_9bit"	"RCKmer-2"	0.985862004043248
"Z_curve_9bit"	"RCKmer-3"	0.973034263729319
"Z_curve_9bit"	"RCKmer-4"	0.96559827767213
"Z_curve_9bit"	"RCKmer-5"	0.937071595219855
"Z_curve_9bit"	"RCKmer-6"	0.924080049459179
"Z_curve_9bit"	"RCKmer-7"	0.886458909097771
"Z_curve_12bit"	"Z_curve_36bit"	0.99374079662816
"Z_curve_12bit"	"Z_curve_48bit"	0.99723882644434
"Z_curve_12bit"	"Z_curve_144bit"	0.988331239146158
"Z_curve_12bit"	"PseEIIP"	0.994283494800957
"Z_curve_12bit"	"DAC"	0.881763776350501
"Z_curve_12bit"	"DCC"	0.817078847244567
"Z_curve_12bit"	"DACC"	0.846626703356524
"Z_curve_12bit"	"TAC"	0.818094691047805
"Z_curve_12bit"	"TCC"	0.875831410077274
"Z_curve_12bit"	"TACC"	0.85620710287184
"Z_curve_12bit"	"Moran"	0.498596149851237
"Z_curve_12bit"	"Geary"	0.498550374098015
"Z_curve_12bit"	"NMBroto"	0.873110592999345
"Z_curve_12bit"	"DPCP"	0.994802591567798
"Z_curve_12bit"	"TPCP"	0.970777704432443
"Z_curve_12bit"	"MMI"	0.87690203168043
"Z_curve_12bit"	"PseDNC"	0.994039881743452
"Z_curve_12bit"	"PseKNC"	0.997464831580702
"Z_curve_12bit"	"PCPseDNC"	0.994039881743452
"Z_curve_12bit"	"PCPseTNC"	0.996191791630281
"Z_curve_12bit"	"SCPseDNC"	0.995007923468221
"Z_curve_12bit"	"SCPseTNC"	0.997555955535049
"Z_curve_12bit"	"Mismatch"	0.0609238171684618
"Z_curve_12bit"	"Kmer-1"	0.967914331549085
"Z_curve_12bit"	"Kmer-2"	0.994158849603795
"Z_curve_12bit"	"Kmer-3"	0.997705919243667
"Z_curve_12bit"	"Kmer-4"	0.998007536482417
"Z_curve_12bit"	"Kmer-5"	0.992895072426848
"Z_curve_12bit"	"Kmer-6"	0.984206157536673
"Z_curve_12bit"	"Kmer-7"	0.966838901747013
"Z_curve_12bit"	"RCKmer-1"	0.967140498896279
"Z_curve_12bit"	"RCKmer-2"	0.985215120868501
"Z_curve_12bit"	"RCKmer-3"	0.996892060520204
"Z_curve_12bit"	"RCKmer-4"	0.996696576462238
"Z_curve_12bit"	"RCKmer-5"	0.99248356961143
"Z_curve_12bit"	"RCKmer-6"	0.987002704437849
"Z_curve_12bit"	"RCKmer-7"	0.968401296890343
